anio,provincia,departamento,sector,ambito,localizacion,electricidadsi,electricidadredpública,electricidadgrupoelectrógeno,electricidadpanelfotovoltaicosolar,electricidadgeneradoreólico,electricidadgeneradorhidráulico,electricidadotro,equipamientoestablecimientotelevisor,equipamientoestablecimientosistemamultimediaocañón,equipamientoestablecimientoscanner,equipamientoestablecimientowebcam,equipamientoestablecimientoreproductordecd,equipamientoestablecimientoreproductordedvd,equipamientoestablecimientoimpresora,equipamientoestablecimientoequipoemisorderadioamfm,equipamientoestablecimientoequiporeceptorderadioamfm,equipamientoestablecimientoservidorparausoescolar,equipamientoestablecimientoimpresora3d,equipamientoestablecimientoequipodesonido,equipamientoestablecimientopizarrasdigitales,equipamientobibliotecatelevisor,equipamientobibliotecasistemamultimediaocañón,equipamientobibliotecascanner,equipamientobibliotecaequipamientobibliotecawebcam,equipamientobibliotecareproductordecd,equipamientobibliotecareproductordedvd,equipamientobibliotecaimpresora,equipamientobibliotecaequipoemisorderadioamfm,equipamientobibliotecaequiporeceptorderadioamfm,equipamientobibliotecaservidorparausoescolar,internettipodeserviciogratuito,internettipodeserviciopago,internettipodeconexióntelefónica,internettipodeconexiónadsl,internettipodeconexióncablemódem,internettipodeconexiónsatelital,internettipodeconexiónotrotipo,internettipodeconexiónmóvil,espaciosconconexióneneláreadeadministración,espaciosconconexiónenlasaulas,espaciosconconexiónenlabibliotecas,espaciosconconexiónenotroespaciodelestablecimiento,espaciosconconexiónenellaboratorio,cooperadoraconpersoneríajurídica,cooperadorasinpersoneríajurídica,cooperadorano,sistemadegestiónescolarsi,sistemadegestiónescolarprovistoporelministerio,sistemadegestiónescolardesarrolladoporterceros,sistemadegestiónescolarencargadoporelestablecimiento,sistemadegestiónescolarplanilladecalculo,disponedesalaolaboratoriodeinformáticasi,laboratoriofuncionaesespacioexclusivosi,bibliotecadisponedealmenosunasi,bibliotecafuncionaesespacioexclusivosi,subvenciónestataljardínmaternalsi,subvenciónestataljardíndeinfantessi,subvenciónestatalprimariasi,subvenciónestatalsecundariasi,subvenciónestatalsnusi
2023,Buenos Aires,SAN ANDRES DE GILES,Privado,Urbano,8,8,8, , , , , ,8,8,5,5,2,2,8,4, , ,2,7, , , , , , , , , , , ,  ,8,2,1,6,2, ,1,8,7,1,7,4,1, ,7,4,2,1,1, ,4,2,2,2,1,1,2,3, 
2023,Buenos Aires,SAN ANTONIO DE ARECO,Estatal,Rural,18,18,18, , , , , ,12,13,7,3,6,4,14,7, ,3,1,11,7,4,5,1,1,1,1,4,1, ,1,79,2,2, ,7,8,2,2,11,14,7,7,5,5,8,5,7,4,1, ,2,7,3,12,8, , , , , 
2023,Buenos Aires,SAN ANTONIO DE ARECO,Estatal,Urbano,30,30,30, , , , , ,21,23,13,9,20,14,26,21, ,9,2,24,4,12,10,3,3,9,6,5,5, ,4,162,12,8,1,9,7,5,5,26,20,19,14,9,6,19,5,13,13, , , ,8,4,29,19, , , , , 
2023,Buenos Aires,SAN ANTONIO DE ARECO,Privado,Urbano,10,10,10, , , , , ,7,10,9,7,6,5,10,8, , ,2,10,1,4,7,1,4,5,4,1,4, , ,1 ,9,2, ,4,1,3,1,10,9,7,6,7,1,1,8,9,1,4,2,2,7,7,7,6, ,1,1,1,1
2023,Buenos Aires,SAN CAYETANO,Estatal,Rural,10,10,10, , , , , ,9,9,3,1,5,4,9,3, ,5,2,9,7,6,6,2, ,4,2,5,3, ,3,34, , , ,3,3,1, ,3,5,3,3, ,6,3,1,9,9, , , ,1, ,6,3, , , , , 
2023,Buenos Aires,SAN CAYETANO,Estatal,Urbano,10,10,10, , , , , ,6,7,6,2,6,3,7,4, ,7,1,8,6,5,4,1,1,3,2,3,1, ,4,73, , ,1,3,3, ,4,7,9,6,5,4,5,2,3,9,8, , ,1,4,3,8,6, , , , , 
2023,Buenos Aires,SAN FERNANDO,Estatal,Rural,27,27,22,11,3, , ,2,17,23,10,10,12,16,20,8, ,2,1,18,10,6,4, ,1,3,4,1,1, , ,231, , , ,4,21, ,2,17,15,5,5,4,15,3,9,18,17, , ,1,7,3,20,7, , , , , 
2023,Buenos Aires,SAN FERNANDO,Estatal,Urbano,73,73,72,1,1, , , ,56,63,18,13,27,33,61,21, ,7,3,56,27,16,19,3,2,10,9,7,7, ,2,603,3,3, ,49,8,8,7,64,36,35,21,16,25,16,32,44,40, , ,4,22,13,63,43, , , , , 
2023,Buenos Aires,SAN FERNANDO,Privado,Urbano,68,67,67, , , , , ,49,61,46,43,46,37,66,27, ,14,12,64,8,10,10,11,10,13,10,16,5, ,2, 1,66,9,8,48,1,7,8,67,53,33,48,39, , ,68,37,9,14,13,1,38,32,43,33,4,21,14,16,1
2023,Buenos Aires,SAN ISIDRO,Estatal,Urbano,94,94,94, , , , , ,77,78,36,19,43,53,77,39, ,14,6,83,26,29,23, ,4,15,20,6,9, ,3,769,8,9,3,74,5,8,10,91,65,53,46,41,39,27,28,45,39,1,3,2,42,29,82,63, , , , , 
2023,Buenos Aires,SAN ISIDRO,Privado,Urbano,181,175,173,10,5, , ,2,139,155,123,140,140,121,174,75, ,43,24,160,62,37,42,20,33,45,35,42,16, ,5,  ,175,18,16,140,11,14,30,175,141,81,131,120, , ,177,97,20,43,31,3,121,114,110,80,9,25,26,26,5
2023,Buenos Aires,SAN MIGUEL,Estatal,Urbano,125,122,122, ,2, , , ,89,99,52,20,46,50,103,37, ,5,8,99,41,32,35,7,7,20,18,12,13, ,2,984,8,26,8,71,4,10,18,110,66,51,43,20,49,52,21,67,62,1,1,3,23,14,104,71, , , , , 
2023,Buenos Aires,SAN MIGUEL,Privado,Urbano,145,133,132,10,1, , ,1,119,107,80,73,78,72,128,51, ,26,8,123,19,24,17,6,13,18,11,17,16, ,8, 1,130,52,15,88,10,13,23,130,97,50,83,81, , ,133,72,28,18,18,8,84,69,80,61,8,40,36,38,2
2023,Buenos Aires,SAN NICOLAS,Estatal,Rural,6,6,6, , , , , ,4,5,1, ,1,2,3, , , , ,2,4,1,1, , , ,1, , , , ,41, , , ,3,1,2, ,4,3,1,1,1,2,1,3,2,2, , , ,1, ,5,3, , , , , 
2023,Buenos Aires,SAN NICOLAS,Estatal,Urbano,103,103,102, , , , ,1,73,91,43,21,51,53,90,36, ,9,7,88,32,27,31,4,5,16,21,16,11, , ,6910,18,15,9,51,24,10,11,94,39,37,33,22,54,32,17,42,38, , ,4,35,27,83,58, , , , , 
2023,Buenos Aires,SAN NICOLAS,Privado,Urbano,57,57,57,1, , , , ,44,53,38,30,40,35,56,35, ,14,6,55,6,9,5,3,7,10,8,5,6, ,4, 1,55,12,9,44,1,2,7,55,43,18,39,24,1, ,56,30,11,6,10,3,25,20,32,22,5,17,16,17,4
2023,Buenos Aires,SAN PEDRO,Estatal,Rural,41,41,40,1, , , , ,24,25,8,3,14,13,32,13, ,1,1,25,9,5,4,1,1,2,2,4,2, ,1,352,4,4, ,10,22,5,3,26,27,3,7,1,20,11,10,10,9, , ,1,2,1,15,8, , , , , 
2023,Buenos Aires,SAN PEDRO,Estatal,Urbano,48,48,47, , , , ,1,43,40,16,6,20,23,45,20, ,1,3,41,11,11,5, , ,3,5,5,6, , ,378,3,7,8,21,7,3,3,46,13,11,10,2,22,16,10,20,20, , , ,3,2,44,32, , , , , 
2023,Buenos Aires,SAN PEDRO,Privado,Urbano,13,13,13, , , , , ,11,11,5,4,10,6,13,8, ,1,1,13, ,2,2,3,1,2,2,3,3, ,1, 3,10,5,2,9,1, ,2,13,11,6,9,4, , ,13,2,2, , , ,3,2,8,4, ,3,4,4,1
2023,Buenos Aires,SAN VICENTE,Estatal,Rural,12,12,12, , , , , ,7,8, , ,2,3,7,1, ,1, ,4, ,2,2, , ,1,1,2,1, , ,7 , , , ,3,2, ,2,3,5,3,2, ,3,2,7,11,11, , , , , ,8,3, , , , , 
2023,Buenos Aires,SAN VICENTE,Estatal,Urbano,55,55,55, , , , ,1,37,35,7,4,15,21,34,14, ,6,2,38,8,18,13, ,1,5,9,3,5, ,3,43 ,2,10,3,25,6,2,9,45,24,21,16,3,28,10,17,54,52, , ,2,10,6,42,28, , , , , 
2023,Buenos Aires,SAN VICENTE,Privado,Urbano,19,16,16, , , , , ,14,16,8,8,9,8,15,5, ,6,2,15,3,2,2, , ,2,2,1,1, , ,  ,16,7,2,11, , ,2,16,13,5,7,5, , ,16,8,4,1,2,1,5,4,6,4, ,2,3,4, 
2023,Buenos Aires,SUIPACHA,Estatal,Rural,16,16,15, , , , ,1,7,12,1,2,4,3,13,4, ,1, ,10,9, ,3, , ,1, ,2,1, , ,69, ,2, ,5,5,1,3,10,12,2,5,1,9,2,5,3,3, , , ,2, ,7,2, , , , , 
2023,Buenos Aires,SUIPACHA,Estatal,Urbano,12,12,11, , , , ,1,6,8, , ,4,6,7,3, , ,1,9,5,2,2, , ,1,2,1, , , ,74, , , ,5,3,1,3,9,8,1,4,1,6,3,3,3,3, , , ,1, ,9,4, , , , , 
2023,Buenos Aires,SUIPACHA,Privado,Urbano,5,5,5, , , , , ,2,5,2,3,4,4,5,3, , ,1,5,2, ,3,1,2,3,2, ,2, , , 4,1,1,2,3,1, , ,5,3,5,3,5, ,1,4,2, ,2, , ,5,5,5,5, , ,2,2, 
2023,Buenos Aires,TANDIL,Estatal,Rural,51,50,49, ,2, , ,1,38,38,26,7,20,21,42,18, ,11,4,39,11,8,10,4,1,6,7,7,4, ,3,436, ,4,3,20,11,15,4,35,43,17,17,10,26,5,19,15,14, , ,1,15,4,33,20, , , , , 
2023,Buenos Aires,TANDIL,Estatal,Urbano,79,79,79, , , , , ,56,70,45,12,38,40,73,39, ,10,6,66,16,20,13,5,1,10,13,12,8, ,1,752,2,9,4,53,9,12,8,76,66,42,41,19,43,22,14,43,36,4, ,3,22,14,65,52, , , , , 
2023,Buenos Aires,TANDIL,Privado,Urbano,44,44,44, , , , , ,37,37,26,21,34,16,44,24, ,9,3,44,8,5,3,2,1,4,3,6,1, ,1,11,42,12,2,37, ,2,7,44,38,19,31,23, , ,44,28,8,8,12, ,22,19,27,23,3,8,5,4,2
2023,Buenos Aires,TAPALQUE,Estatal,Rural,30,29,21, ,8, , , ,13,19,11,4,8,6,19,10, ,3, ,15,11,6,6,3,1,3,2,4,1, , ,223,2,2, ,1,25,1,1,10,26,5,10,2,19,2,9,3,2, , ,1,4, ,14,4, , , , , 
2023,Buenos Aires,TAPALQUE,Estatal,Urbano,13,13,13, , , , , ,8,9,3,2,6,7,9,5, ,3, ,8,4,3,4,2,1,3,3,2,2, ,1,10 ,1,1, ,3,6,1, ,10,5,2,2,1,10,1,2,4,3,1, , ,3,2,8,6, , , , , 
2023,Buenos Aires,TIGRE,Estatal,Rural,14,14,14, , , , , ,14,10,8,1,3,5,10,3, ,6, ,6,3,3,3, , ,1,2,2,1, , ,131, ,1, ,3,9,1,2,14,6,2,3, ,10,4, ,8,8, , , ,2, ,6, , , , , , 
2023,Buenos Aires,TIGRE,Estatal,Urbano,153,147,147, , , , , ,108,112,64,22,42,46,127,41, ,28,9,119,48,50,40,13,10,19,23,26,10, ,11,1229,11,38,1,98,11,9,20,139,64,56,43,18,66,41,40,77,72,2, ,3,27,18,123,90, , , , , 
2023,Buenos Aires,TIGRE,Privado,Urbano,172,170,170,6,1, , ,1,137,147,123,114,103,92,166,72, ,45,18,160,46,27,36,17,24,26,25,25,13, ,6, 2,165,34,25,111,15,11,28,165,133,64,118,94,1, ,169,91,26,41,19,5,96,86,99,65,4,38,24,25, 
2023,Buenos Aires,TORDILLO,Estatal,Rural,10,10,9, ,1, , , ,6,7,5,4,3,4,8,3, ,3, ,7,6,2,2,2,1,2, ,2,1, , ,82, ,2, ,4,6,1,2,6,9,5,5,1,5,2,3,4,3, , ,1,3, ,8,3, , , , , 
2023,Buenos Aires,TORNQUIST,Estatal,Rural,27,27,26,1, , , ,1,16,19,8,1,9,8,24,9, , ,2,14,10,3,4,1, ,1,2,4,1, , ,1013,3,2,1,11,5,8,2,15,22,7,8,2,22,3,2,10,10, , , ,5, ,13,7, , , , , 
2023,Buenos Aires,TORNQUIST,Estatal,Urbano,15,15,15, , , , , ,14,14,11,2,9,9,14,10, ,2,4,14,6,6,4,2, ,3,3,6,4, ,1,94,2,3, ,11,3,1,1,14,13,10,11,6,9,5,1,13,13, , , ,6,3,14,9, , , , , 
2023,Buenos Aires,TRENQUE LAUQUEN,Estatal,Rural,54,54,53, , , , ,1,28,31,14, ,16,18,29,16, ,3,1,23,5,5,8,3, ,2,3,7,3, , ,309,6,2, ,11,27,5,2,15,39,7,12,2,24,6,24,7,6,1, , ,7,3,30,11, , , , , 
2023,Buenos Aires,TRENQUE LAUQUEN,Estatal,Urbano,35,35,35, , , , ,1,31,30,18,7,17,16,34,14, ,7,2,27,9,22,14,4,4,8,9,6,6, ,7,221,10,14, ,13,5, ,8,32,11,19,10,2,24,6,5,11,10, , ,1,10,8,34,28, , , , , 
2023,Buenos Aires,TRENQUE LAUQUEN,Privado,Urbano,14,14,14, , , , , ,12,10,6,9,7,5,14,7, ,4,3,14,1,5,3,1,2,4,2,3,2, , ,  ,14,6,1,7, , ,5,14,13,7,11,4,1, ,13,10,4,2,3,1,4,3,12,8,1,4,3,2, 
2023,Buenos Aires,TRES ARROYOS,Estatal,Rural,32,32,31,2,3, , , ,18,24,11,3,13,9,23,21, ,3,2,22,11,6,6,3, ,3,2,3,3, , ,236,3,1,1,11,15,3,4,20,30,10,8,1,15,10,7,7,6, , ,1,4, ,12,6, , , , , 
2023,Buenos Aires,TRES ARROYOS,Estatal,Urbano,53,53,53, ,2, , , ,42,43,17,9,22,22,47,27, ,14,3,45,16,21,11, ,1,6,9,12,9, ,7,369,7,9,3,32,7,3,9,50,36,30,19,10,27,21,5,22,21, ,1, ,15,7,45,33, , , , , 
2023,Buenos Aires,TRES ARROYOS,Privado,Urbano,13,13,13,1, , , , ,13,13,10,9,13,11,13,8, ,5,5,12,3,12,5,4,3,9,6,8,6, ,5, 1,12, , ,9, ,2,4,13,8,11,8,11, ,2,11,9,1,6,2, ,10,10,13,11,4,6,6,4, 
2023,Buenos Aires,TRES DE FEBRERO,Estatal,Urbano,158,158,158, , , , , ,118,125,89,36,57,70,145,53, ,27,13,138,55,48,47,8,7,14,24,16,15, ,5,11812,17,25,11,114,13,6,12,143,82,56,44,25,64,47,47,86,80, , ,6,42,28,117,75, , , , , 
2023,Buenos Aires,TRES DE FEBRERO,Privado,Urbano,117,117,116,4,3,1, ,1,95,103,82,84,88,73,115,65, ,32,10,111,24,33,28,10,22,38,37,18,15, ,7,  ,115,26,18,85,5,8,21,112,83,57,81,78,1, ,116,63,28,17,14,4,81,70,82,60,13,41,36,33,4
2023,Buenos Aires,TRES LOMAS,Estatal,Rural,9,9,9, , , , , ,8,6,3,3,4,3,8,2, ,4,1,8,3,1,1, , , , ,2, , , ,43,2, , ,1,6,2, ,6,7,4,4,2,4,3,2,4,3, ,1, ,2,2,5,3, , , , , 
2023,Buenos Aires,TRES LOMAS,Estatal,Urbano,10,10,9, , , , ,1,6,7,2, ,2,1,9,4, , ,1,7,4,2,1, , ,1, , , , , ,7 ,3, , ,3,3,3,1,9,4,4,4,2,8, ,2,3,3, , , ,4,1,9,6, , , , , 
2023,Buenos Aires,VICENTE LOPEZ,Estatal,Urbano,99,99,98,2,2, , ,1,77,89,43,33,48,49,89,38, ,20,6,91,28,25,26,3,3,19,17,10,9, ,5,7610,11,15,3,76,3,9,13,97,75,38,46,28,33,28,38,54,38,11,1,4,33,20,77,45, , , , , 
2023,Buenos Aires,VICENTE LOPEZ,Privado,Urbano,157,153,153,11,2,1,1,2,120,138,116,113,114,103,149,59, ,31,25,143,55,29,42,22,34,46,39,45,20, ,10,2 ,151,21,12,130,6,14,29,153,137,77,116,101,2, ,151,85,11,53,18,3,103,91,90,67,8,22,23,27,3
2023,Buenos Aires,VILLA GESELL,Estatal,Urbano,22,20,20, , , , , ,15,12,5,2,3,3,18,4, ,2,2,13,1,6,4, , ,1,3, , , , ,146,1,7,7,11,1,3,1,21,16,11,11,1,13,1,8,12,12, , , ,1,1,14,12, , , , , 
2023,Buenos Aires,VILLA GESELL,Privado,Urbano,14,14,14, , , , , ,12,10,5,7,6,3,10,8, ,7,2,10, , , , , , ,1, ,1, , ,  ,14,6,7,8, ,1, ,14,11,4,7,6, , ,14,7,4,2, ,1,6,5,8,5,1,4,5,4, 
2023,Buenos Aires,VILLARINO,Estatal,Rural,38,36,32, ,4, , , ,19,26,20,7,14,11,28,12, ,2, ,22,14,9,8,2,2,3,5,4,3, , ,275, ,1,1,9,18,4,1,15,30,10,7,1,15,4,18,7,5, , ,2,4,1,20,9, , , , , 
2023,Buenos Aires,VILLARINO,Estatal,Urbano,28,28,28, , , , , ,19,25,15,7,17,19,25,16, ,1,3,25,9,12,11,3,3,7,8,6,4, ,1,199, ,4,1,16,3,6,3,27,23,13,8,7,19,6,3,13,11, , ,2,8,6,22,12, , , , , 
2023,Buenos Aires,ZARATE,Estatal,Rural,20,20,17,4, , , , ,17,16,4,2,9,10,14,11, ,6, ,13,3,4,3, ,1,1,1,3,3, , ,116, , ,1,5,9,2, ,15,11,5,5,4,9,3,8,7,6, , ,1,6, ,16,4, , , , , 
2023,Buenos Aires,ZARATE,Estatal,Urbano,77,77,75,2,1, , , ,58,55,19,13,27,27,63,29, ,9,8,60,27,19,14,1,1,8,9,6,4, ,2,568,7,8,3,50,11,6,6,69,41,22,21,9,45,13,19,27,25, , ,2,17,13,56,47, , , , , 
2023,Buenos Aires,ZARATE,Privado,Urbano,34,34,34, , , , ,1,25,28,18,21,23,18,32,17, ,2,6,33,2,8,9,3,8,6,6,7,5, ,1, 1,33,8,8,22, , ,6,34,32,16,26,20, , ,34,18,6,4,5,3,17,15,22,14, ,11,5,6,1
2023,Catamarca,AMBATO,Estatal,Rural,35,35,35, , , , , ,22,20,4,5,13,11,21, , ,2, ,29,13,4,4,1,1,3,3,6, , , ,251,1, ,1,2,25,1, ,12,24,3,6,3, ,20,15, , , , , ,7,2,18,7, , , , , 
2023,Catamarca,ANCASTI,Estatal,Rural,42,42,42, , , , , ,24,27,16,6,21,19,28,6, ,11,3,26,17,3,5,3,2,3,3,5,2, , ,32 , ,3, ,3,28, ,1,18,28,4,15,2,1,10,31, , , , , ,7,1,25,3, , , , , 
2023,Catamarca,ANDALGALA,Estatal,Rural,38,37,37, , , , , ,21,21,7,2,14,15,23,8, ,5, ,21,6,5,7,2,1,4,4,6,2, ,2,11 ,1,2, ,3,7,1, ,8,6,3,7,3,1,9,28, , , , , ,10,2,19,6, , , , , 
2023,Catamarca,ANDALGALA,Estatal,Urbano,16,16,16, , , , , ,10,12,7,4,8,5,16,2, , ,3,12,7,3,4,3,1,3,2,5, , , ,6 ,1,1,1,3,1,4, ,7,2,3,1,1,2,5,9,2,2, , , ,8,6,13,9, , , , , 
2023,Catamarca,ANTOFAGASTA DE LA SIERRA,Estatal,Rural,12,11,8, ,4, , , ,9,7,4,3,3,4,7, , ,3, ,7,3,2,2,1, ,1,1,1, , , ,81, , , ,1,8, , ,7,4,1,2,2,1,5,5, , , , , ,4,2,8,3, , , , , 
2023,Catamarca,BELEN,Estatal,Rural,107,107,91, ,17, , , ,53,57,30,19,28,27,64,14, ,14,1,66,33,5,5,1,1,1,1,1, , , ,4717,7,8,4,20,40,2,5,56,37,12,27,13,6,32,69,1,1, , , ,19,10,65,22, , , , , 
2023,Catamarca,BELEN,Estatal,Urbano,19,19,19, , , , , ,13,16,8,5,7,6,13,4, ,1,3,12,8,2,3,1, ,1,1,1, , , ,5 ,6,4,3,5, ,2, ,11,6,6,4,5,2,9,8, , , , , ,7,7,13,10, , , , , 
2023,Catamarca,CAPAYAN,Estatal,Rural,52,51,51, , , , , ,32,31,16,8,19,22,36,19, ,7,1,33,11,9,8,3,2,6,7,7,4, ,2,38 ,1,1,1,5,32,3,3,31,34,8,13,6,4,17,30,2,2, , , ,12,4,32,10, , , , , 
2023,Catamarca,CAPAYAN,Estatal,Urbano,15,15,15, , , , , ,6,11,3,1,5,6,10,6, ,2,2,10,8,1,1, , , ,1,1,1, ,1,6 ,1, , ,1,6, , ,3,4,1,1,1, ,4,11, , , , , ,5,5,10,6, , , , , 
2023,Catamarca,CAPITAL,Estatal,Urbano,108,108,105, , , , ,3,63,93,39,17,45,39,85,32, ,7,10,94,47,28,31,8,5,15,14,16,10, ,1,73 ,8,11,17,35,19,9,5,68,62,47,47,32,8,36,64,35,31,2, ,2,40,27,101,54, , , , , 
2023,Catamarca,CAPITAL,Privado,Urbano,24,24,23,1, , , ,1,17,21,14,12,12,9,24,8, ,3,3,21,6,6,8,3,2,4,2,6,2, , ,11,22,12,8,9,1,3,2,24,15,14,15,9, ,1,23,9,5, ,4, ,11,10,23,19, ,11,11,12,6
2023,Catamarca,EL ALTO,Estatal,Rural,55,54,52, , , , ,2,32,30,13,8,18,20,31,4, ,10, ,34,14,5,5,3,1,4,4,4, , , ,252, ,1, ,3,24, ,1,20,21,1,10,2,2,20,32, , , , , ,9,1,36,3, , , , , 
2023,Catamarca,Enmascarado,Privado,Urbano,13,13,13, , , , , ,11,10,11,4,7,7,12,6, ,1, ,13,1,5,4,1,1,3,3,2,1, , ,  ,12,2,3,6,1,3,2,12,9,5,7,6, , ,13, , , , , ,6,4,11,9, ,9,9,8,1
2023,Catamarca,FRAY MAMERTO ESQUIU,Estatal,Rural,13,13,13, , , , , ,6,5,3, ,6,7,7,3, ,1,1,10,2,1, , , ,1,1, , , , ,9 ,2, ,3,2,5, ,1,8,10,2,3,2, ,4,9,1,1, , , ,3,2,10,7, , , , , 
2023,Catamarca,FRAY MAMERTO ESQUIU,Estatal,Urbano,15,15,15, , , , , ,7,13,4,1,4,3,11,3, ,1,1,11,6, ,1,1, , , ,1, , , ,91,1, ,3,3,2,2,1,9,8,3,5,2, ,4,11,2,2, , , ,3,2,11,7, , , , , 
2023,Catamarca,LA PAZ,Estatal,Rural,80,78,78, , , , , ,45,43,20,15,38,27,38,30, ,11,1,48,26,13,12,7,7,10,10,10,9, ,1,551, ,1, ,6,45,6,4,35,50,11,19,6,4,17,57,20,18,1, ,1,13,1,62,10, , , , , 
2023,Catamarca,LA PAZ,Estatal,Urbano,17,17,17, , , , , ,10,14,5,1,3,2,13,1, ,1,1,10,4,3,4,1, , , ,2, , , ,14 ,1,3, ,2,10,1,1,11,12,5,3,2,4,5,8,3,3, , , ,3,1,11,3, , , , , 
2023,Catamarca,PACLIN,Estatal,Rural,35,35,35, , , , , ,27,15,5,5,17,23,17,16, ,3,1,28,6,2,3,1,1,2,1,3,1, ,1,101, , , ,2,8,2, ,8,8,1,5, ,2,9,24,3,2,1, , ,5, ,16,4, , , , , 
2023,Catamarca,POMAN,Estatal,Rural,32,31,27, ,4, , , ,15,16,8,5,12,11,15,8, ,8,1,22,12,1,2, , ,1,1,1,3, , ,171, , ,1,1,15, ,1,10,6,2,8,2, ,16,16, , , , , ,9,2,18,4, , , , , 
2023,Catamarca,POMAN,Estatal,Urbano,11,11,11, , , , , ,8,7,3,2,4,5,8,4, ,2,3,11,5,4, , , ,2,3,2,2, , ,12, , ,1,1,1, , ,3,1, ,1,1, ,5,6, , , , , ,4,3,9,4, , , , , 
2023,Catamarca,SANTA MARIA,Estatal,Rural,60,59,46,1,13, , ,2,25,31,13,9,26,19,32,4, ,8, ,31,17,2,5,4, ,3,3,5,1, , ,143,4,1,1,2,16,2,1,17,13,6,8,6,1,20,39,3,3, , , ,15,5,42,9, , , , , 
2023,Catamarca,SANTA MARIA,Estatal,Urbano,23,23,23, , , , , ,15,19,9,4,11,12,19,3, ,1,2,19,9,3,5,2,1,3,1,1, , , ,41,9,10,3,4,4, ,1,13,5,6,3,4, ,9,14,1,1, , , ,6,6,18,9, , , , , 
2023,Catamarca,SANTA ROSA,Estatal,Rural,38,38,38, , , , , ,19,29,13,3,13,11,28,14, ,2,1,27,7,3,5,1, ,3,3,3,3, , ,18 ,3, ,1,2,17, ,1,16,14,2,8, ,3,13,22, , , , , ,3,2,26,8, , , , , 
2023,Catamarca,SANTA ROSA,Estatal,Urbano,7,7,7, , , , , ,5,5,4, ,2,2,6,5, , , ,7,1,1,2, , ,1, ,1,1, , ,4 ,1, , ,2,1,1,1,5,2,2,1,1,1,3,3,1,1, , , ,2,1,5,4, , , , , 
2023,Catamarca,TINOGASTA,Estatal,Rural,63,63,60,1,3, , , ,39,28,19,12,16,18,37,26, ,5,1,40,15,2, , , , , ,1,4, , ,27 , , , ,6,22, ,1,17,16,8,12,9,3,21,39,3,3, , , ,20,9,46,10, , , , , 
2023,Catamarca,TINOGASTA,Estatal,Urbano,24,24,24, , , , , ,16,18,7,3,7,6,20,8, ,3,2,18,8,7,4, ,1,2,2,2,2, , ,112,1,1, ,11,2, ,1,13,6,4,4,4, ,13,11,2,2, , , ,8,6,21,10, , , , , 
2023,Catamarca,VALLE VIEJO,Estatal,Rural,16,16,16, , , , , ,10,9, , ,5,4,10,6, ,3, ,10,2,3,1, , , ,1, ,1, , ,102, ,1, ,6,4,2,1,9,8,3,4,4, ,3,13, , , , , ,5,2,9,4, , , , , 
2023,Catamarca,VALLE VIEJO,Estatal,Urbano,25,25,25, , , , , ,13,19,4,3,7,7,18,11, ,7, ,21,7,6,8, ,1,3,2,4,4, ,4,141, ,1,1,6,2,7, ,11,7,2,4,5,1,6,18,4,4, , , ,11,6,24,13, , , , , 
2023,Chaco,1§ DE MAYO,Estatal,Rural,17,17,17, , , , , ,8,13,6, ,4,4,12,2, ,1,1,11,3,1, , , , , ,1, , , ,6 ,1, , , ,3,3,2,6,4,2,2,1,2,7,8,8,7, , ,1,1, ,7,5, , , , , 
2023,Chaco,12 DE OCTUBRE,Estatal,Rural,28,28,28, , , , , ,8,19,4,2,7,4,16,7, , , ,14,9,1,1, , ,1,2,1, , , ,15 , ,1, ,4,6,3,2,9,8,4,6,1,2,20,6,4,3, , ,1,2,1,11,9, , , , , 
2023,Chaco,12 DE OCTUBRE,Estatal,Urbano,21,21,21, , , , , ,14,17,9,4,3,2,18,7, , ,2,16,8,5,3,1,1,1, ,3,1, , ,16 ,1,1, ,9,4,3,1,16,13,6,8,2,3,14,4,11,11, , , ,5,3,13,6, , , , , 
